iter	Passed	Remaining
535	10184	8816
536	10200	8794
537	10212	8769
538	10227	8747
539	10240	8723
540	10254	8699
541	10268	8676
542	10278	8650
543	10306	8638
544	10317	8613
545	10331	8590
546	10343	8565
547	10355	8541
548	10369	8518
549	10379	8492
550	10395	8471
551	10409	8448
552	10419	8422
553	10434	8400
554	10447	8377
555	10458	8351
556	10470	8327
557	10479	8300
558	10492	8278
559	10502	8251
560	10513	8227
561	10523	8201
562	10536	8178
563	10546	8152
564	10557	8128
565	10571	8105
566	10581	8080
567	10595	8058
568	10606	8034
569	10618	8010
570	10631	7987
571	10641	7962
572	10655	7940
573	10666	7916
574	10677	7891
575	10697	7874
576	10714	7854
577	10724	7829
578	10737	7807
579	10750	7784
580	10761	7760
581	10774	7738
582	10785	7714
583	10798	7691
584	10808	7667
585	10823	7646
586	10837	7625
587	10848	7601
588	10862	7579
589	10875	7557
590	10885	7533
591	10898	7511
592	10908	7486
593	10922	7465
594	10936	7444
595	10946	7420
596	10958	7397
597	10968	7373
598	10982	7352
599	10992	7328
600	11003	7304
601	11012	7280
602	11025	7259
603	11040	7238
604	11049	7214
605	11064	7193
606	11074	7170
607	11090	7150
608	11114	7135
609	11127	7114
610	11141	7093
611	11151	7069
612	11163	7048
613	11175	7025
614	11188	7004
615	11204	6984
616	11214	6961
617	11226	6939
618	11244	6920
619	11265	6904
620	11292	6892
621	11314	6876
622	11336	6860
623	11375	6854
624	11397	6838
625	11414	6819
626	11432	6801
627	11448	6781
628	11461	6760
629	11478	6741
630	11497	6723
631	11517	6706
632	11547	6694
633	11566	6677
634	11593	6664
635	11605	6641
636	11620	6621
637	11632	6600
638	11643	6578
639	11655	6556
640	11665	6533
641	11679	6512
642	11689	6489
643	11702	6469
644	11715	6448
645	11727	6426
646	11742	6406
647	11757	6386
648	11768	6364
649	11780	6343
650	11792	6321
651	11807	6302
652	11820	6281
653	11830	6258
654	11844	6238
655	11854	6216
656	11868	6196
657	11883	6176
658	11895	6155
659	11912	6136
660	11925	6116
661	11935	6093
662	11955	6077
663	11972	6058
664	11984	6037
665	11993	6014
666	12007	5994
667	12017	5972
668	12030	5952
669	12040	5930
670	12052	5909
671	12065	5889
672	12075	5867
673	12088	5847
674	12099	5825
675	12113	5806
676	12126	5785
677	12136	5763
678	12150	5744
679	12161	5723
680	12175	5703
681	12193	5685
682	12205	5664
683	12216	5643
684	12229	5623
685	12239	5602
686	12254	5582
687	12263	5561
688	12275	5540
689	12290	5521
690	12299	5500
691	12311	5479
692	12321	5458
693	12335	5438
694	12346	5418
695	12364	5400
696	12380	5382
697	12398	5364
698	12420	5348
699	12438	5330
700	12449	5310
701	12463	5290
702	12474	5270
703	12484	5249
704	12497	5229
705	12507	5208
706	12521	5189
707	12530	5167
708	12542	5148
709	12554	5128
710	12565	5107
711	12579	5088
712	12588	5067
713	12601	5047
714	12611	5026
715	12624	5007
716	12635	4987
717	12646	4967
718	12661	4948
719	12671	4927
720	12684	4908
721	12694	4887
722	12706	4868
723	12716	4847
724	12729	4828
725	12742	4809
726	12755	4789
727	12772	4771
728	12788	4753
729	12802	4735
730	12814	4715
731	12832	4698
732	12847	4679
733	12857	4659
734	12871	4640
735	12886	4622
736	12896	4602
737	12909	4583
738	12921	4563
739	12931	4543
740	12944	4524
741	12956	4504
742	12967	4485
743	12977	4465
744	12991	4446
745	13001	4426
746	13013	4407
747	13026	4388
748	13036	4368
749	13051	4350
750	13061	4330
751	13076	4312
752	13090	4293
753	13100	4274
754	13114	4255
755	13124	4235
756	13136	4216
757	13151	4198
758	13162	4179
759	13179	4162
760	13193	4143
761	13222	4129
762	13243	4113
763	13274	4100
764	13287	4081
765	13306	4064
766	13329	4049
767	13348	4032
768	13365	4014
769	13384	3998
770	13404	3981
771	13423	3964
772	13441	3947
773	13454	3928
774	13467	3909
775	13482	3891
776	13493	3872
777	13509	3854
778	13524	3836
779	13542	3819
780	13555	3801
781	13572	3783
782	13592	3766
783	13656	3762
784	13717	3756
785	13759	3746
786	13837	3745
787	13864	3730
788	13902	3717
789	13925	3701
790	13945	3684
791	13962	3666
792	13983	3650
793	14008	3634
794	14036	3619
795	14057	3602
796	14074	3584
797	14091	3567
798	14110	3549
799	14125	3531
800	14143	3513
801	14161	3496
802	14178	3478
803	14193	3460
804	14294	3462
805	14340	3451
806	14358	3433
807	14432	3429
808	14463	3414
809	14482	3397
810	14520	3384
811	14541	3366
812	14558	3348
813	14578	3331
814	14596	3313
815	14623	3297
816	14640	3279
817	14668	3263
818	14692	3247
819	14708	3228
820	14737	3213
821	14763	3197
822	14778	3178
823	14791	3159
824	14814	3142
825	14830	3124
826	14846	3105
827	14864	3087
828	14884	3070
829	14900	3051
830	14914	3033
831	14931	3014
832	14946	2996
833	14966	2979
834	14986	2961
835	15004	2943
836	15022	2925
837	15036	2906
838	15053	2888
839	15070	2870
840	15087	2852
841	15104	2834
842	15132	2818
843	15170	2804
844	15209	2789
845	15236	2773
846	15260	2756
847	15277	2738
848	15298	2720
849	15318	2703
850	15337	2685
851	15370	2669
852	15403	2654
853	15435	2638
854	15457	2621
855	15483	2604
856	15503	2587
857	15521	2568
858	15544	2551
859	15563	2533
860	15585	2516
861	15606	2498
862	15634	2481
863	15653	2463
864	15672	2445
865	15692	2428
866	15716	2410
867	15735	2392
868	15755	2375
869	15772	2356
870	15790	2338
871	15816	2321
872	15836	2303
873	15855	2285
874	15877	2268
875	15894	2249
876	15918	2232
877	15944	2215
878	15983	2200
879	16019	2184
880	16060	2169
881	16096	2153
882	16168	2142
883	16214	2127
884	16255	2112
885	16277	2094
886	16308	2077
887	16353	2062
888	16388	2046
889	16418	2029
890	16443	2011
891	16472	1994
892	16498	1976
893	16532	1960
894	16554	1942
895	16583	1924
896	16630	1909
897	16662	1892
898	16827	1890
899	17268	1918
900	17523	1925
901	17541	1905
902	17563	1886
903	17584	1867
904	17601	1847
905	17622	1828
906	17643	1809
907	17663	1789
908	17682	1770
909	17700	1750
910	17716	1730
911	17728	1710
912	17745	1690
913	17759	1671
914	17771	1650
915	17788	1631
916	17807	1611
917	17822	1591
918	17841	1572
919	17854	1552
920	17874	1533
921	17889	1513
922	17906	1493
923	17921	1474
924	17934	1454
925	17951	1434
926	17967	1414
927	17981	1395
928	17993	1375
929	18008	1355
930	18017	1335
931	18031	1315
932	18041	1295
933	18052	1275
934	18066	1255
935	18076	1235
936	18089	1216
937	18099	1196
938	18113	1176
939	18130	1157
940	18153	1138
941	18173	1118
942	18195	1099
943	18220	1080
944	18244	1061
945	18262	1042
946	18283	1023
947	18304	1004
948	18324	984
949	18345	965
950	18365	946
951	18385	926
952	18404	907
953	18421	888
954	18441	868
955	18462	849
956	18481	830
957	18502	811
958	18525	792
959	18545	772
960	18569	753
961	18593	734
962	18613	715
963	18633	695
964	18653	676
965	18673	657
966	18693	637
967	18712	618
968	18732	599
969	18751	579
970	18771	560
971	18791	541
972	18811	522
973	18836	502
974	18857	483
975	18883	464
976	18903	445
977	18920	425
978	18941	406
979	19066	389
980	19164	371
981	19294	353
982	19374	335
983	19473	316
984	19553	297
985	19579	278
986	19616	258
987	19637	238
988	19659	218
989	19684	198
990	19704	178
991	19727	159
992	19744	139
993	19761	119
994	19778	99
995	19792	79
996	19807	59
997	19826	39
998	19844	19
999	19859	0
